fold,auc,auprc,mcc,acc,thr,time_min
1,0.8404861360272292,0.5862054701379579,0.5120129468554331,0.7962454645843193,0.95,11.156034084161123
2,0.8569931951476951,0.6272691856541466,0.5575472278447029,0.8250875791285108,0.9,11.222979545593262
3,0.7832228206240592,0.5566785231036419,0.4440898518674849,0.8095400552057811,0.75,11.147634029388428
4,0.8281339962568429,0.5580588760101918,0.4786849554399782,0.840047719555841,0.85,11.219602219263713
5,0.8266488766772238,0.6412023437550339,0.5546510928309805,0.7652464746293841,0.95,11.19721717039744
6,0.8193719304011617,0.6275111776473674,0.5292397504834597,0.8167293233082706,0.9,10.8922394434611
7,0.8216896516458372,0.6561227237231821,0.5540938500090218,0.8089164048159786,0.95,11.057945275306702
8,0.8411430522927841,0.6265190677788598,0.4988499088884278,0.8348719842442147,0.9,11.122859803835551
9,0.8145638036171181,0.5843254445726254,0.4835115817204828,0.7899241028203767,0.95,10.84718824227651
10,0.8394441520695173,0.6103868848766445,0.5276422472708762,0.8213159359346979,0.85,11.279969724019368
