fold,auc,auprc,mcc,acc,thr,time_min
1,0.8593723857293807,0.5771083975311067,0.49442880493552016,0.85527437137244,0.35,0.09505443175633749
2,0.8695654268331332,0.5979691587859404,0.5291001933146161,0.8620024579943125,0.35,0.09480549097061157
3,0.8366978197142222,0.5523746404339189,0.456548129230682,0.8475864110591802,0.35,0.1005114992459615
4,0.8528455314650445,0.544630146705845,0.485357512171444,0.8615526769054113,0.35,0.09427821238835653
5,0.8542954143822047,0.5897223240427735,0.517618635600492,0.8506530788000574,0.35,0.09531378348668416
6,0.8626891241605044,0.5864384152747277,0.5237229139800413,0.8479169656954213,0.39999999999999997,0.11640894810358683
7,0.8533199919282183,0.5803870090598353,0.4992829983354292,0.851343835223195,0.35,0.09843861262003581
8,0.8466509086433766,0.5760186347565561,0.4804278875598554,0.854663054399311,0.35,0.09634586970011393
9,0.8295364044232196,0.5267955033235483,0.46568540613624465,0.8620101908999569,0.35,0.0945292075475057
10,0.8447610084842025,0.5589068574372296,0.5059622152016062,0.8560625089708627,0.35,0.09402995109558106
