fold,auc,auprc,mcc,acc,thr,time_min
1,0.8225976727481015,0.594175708436741,0.5122706701621623,0.8106010411736867,0.95,4.079762649536133
2,0.8210808261287637,0.6370501574988584,0.5837313758959142,0.8363345830004302,0.95,4.045089999834697
3,0.7672205773633466,0.4808968994749002,0.35083144976250485,0.7816890487857829,0.3,4.0263277888298035
4,0.7781778230498302,0.5359392074365209,0.4307130263692958,0.8223670123275519,0.95,4.095204989115397
5,0.841527641878389,0.6667780310563787,0.5724344333678602,0.8085753886947089,0.95,4.064582296212515
6,0.8098301830455926,0.6107491571704764,0.5237636332778398,0.8229010025062656,0.9,4.091008305549622
7,0.8122233783200361,0.6340585527692774,0.5499507407910975,0.7983386740503375,0.9,4.04740659793218
8,0.7975767592083172,0.5838772097956183,0.474745285279898,0.8254554406696208,0.95,4.071447292963664
9,0.794002613158399,0.5541954327475488,0.46199633437551135,0.8145984945497704,0.95,4.077837983767192
10,0.8068769426005957,0.5764489731782553,0.47774949874531153,0.8089171974522293,0.85,4.02012071609497
