fold,auc,auprc,mcc,acc,thr,time_min
1,0.8692880122038267,0.7279244474162648,0.5706801042604627,0.8269127622653415,0.95,11.086113274097443
2,0.8581357575671158,0.7132649182689366,0.606021334677966,0.8148853788949665,0.95,10.906643923123678
3,0.8049730296602071,0.6181811214371749,0.4542167318676403,0.825419470892907,0.9,10.917241585254668
4,0.8119730260582624,0.6232098686156721,0.5184271309911841,0.8249977057905845,0.95,10.94876850048701
5,0.8556426054687204,0.7298037502935351,0.5992859070291234,0.8149331083524165,0.95,10.897964219252268
6,0.8024107553650255,0.6565908580447054,0.5686845977511907,0.8472744360902256,0.95,10.98691193262736
7,0.8278941980726544,0.6982842330030333,0.5766295267602866,0.8285785396509349,0.85,10.945380727450052
8,0.8292676637610381,0.6676378775911066,0.5142793383396963,0.8500430822255047,0.65,10.958265356222789
9,0.8190533201052996,0.6362235054493148,0.5058372240312734,0.8172845675734766,0.95,10.986577184995015
10,0.8299972049768707,0.7245710450892892,0.6012089723607617,0.8451549069321626,0.85,10.942530206839244
