fold,auc,auprc,mcc,acc,thr,time_min
1,0.843631095887523,0.7018922041265625,0.5735503953314309,0.812588736393753,0.95,4.1056821823120115
2,0.850526061528761,0.7004578642129308,0.5680915076891987,0.8333845491979596,0.9,4.402675994237264
3,0.7724856454072345,0.5790863932345458,0.41719815729957915,0.7984988989858264,0.75,4.1907403866449995
4,0.8234881638238379,0.6510572599403462,0.5244353549842699,0.8385488360710899,0.95,4.131927704811096
5,0.8401619512827442,0.7054428296014643,0.5818406481373813,0.8209593829094853,0.95,4.28240446249644
6,0.8181785954452456,0.6591778115535154,0.5486661724353706,0.8233395989974938,0.95,4.173354649543763
7,0.7991126877342969,0.6459653759716224,0.5042262797677826,0.790467597921787,0.95,4.052029383182526
8,0.8028562300419126,0.6220380813861535,0.4860307978779037,0.8425036927621861,0.95,4.840184199810028
9,0.7886438642588243,0.6137408926025533,0.5035328162998839,0.8371490145860012,0.95,4.830799480279286
10,0.8482013722453454,0.7158121014203663,0.5628318943034754,0.8124420258487416,0.9,3.911487078666687
