fold,auc,auprc,mcc,acc,thr,time_min
1,0.8750401095290744,0.7072086253678741,0.5543306334921309,0.8285055573995497,0.75,0.5986581603686015
2,0.889892470293424,0.7359931673552236,0.5920082779569683,0.8312416459591112,0.75,0.575322155157725
3,0.8509985985119672,0.6680551318477204,0.5136807917159188,0.8201806715527526,0.75,0.7013814687728882
4,0.8638548906892924,0.6873980428966382,0.5445611613796294,0.8273019233529496,0.75,0.5240762829780579
5,0.8727694142387701,0.7251119383877702,0.5751344360452191,0.8295266972872112,0.75,0.47310931285222374
6,0.8789197784754497,0.7269627667809049,0.5737349986415644,0.8282618056552318,0.7,0.697737725575765
7,0.8599432967477056,0.6971602837630824,0.5420340799704173,0.8223141237261375,0.75,0.7657312711079916
8,0.8563634946404589,0.6741811495749697,0.5176586831844113,0.82186558059423,0.7,0.7175973176956176
9,0.8489381517217733,0.6641885283896225,0.5260042875358883,0.811907923065882,0.75,0.7003333290417989
10,0.8650640751824431,0.7074243121996594,0.5678038102356869,0.8243505095449979,0.75,0.6355384469032288
