fold,auc,auprc,mcc,acc,thr,time_min
1,0.8750401095290744,0.7072086253678741,0.5543306334921309,0.8285055573995497,0.75,0.6059861620267232
2,0.889892470293424,0.7359931673552236,0.5920082779569683,0.8312416459591112,0.75,0.576045831044515
3,0.8509985985119672,0.6680551318477204,0.5136807917159188,0.8201806715527526,0.75,0.7085031628608703
4,0.8638548906892924,0.6873980428966382,0.5445611613796294,0.8273019233529496,0.75,0.52684246301651
5,0.8727694142387701,0.7251119383877702,0.5751344360452191,0.8295266972872112,0.75,0.4941839575767517
6,0.8789197784754497,0.7269627667809049,0.5737349986415644,0.8282618056552318,0.7,0.7064939816792806
7,0.8599432967477056,0.6971602837630824,0.5420340799704173,0.8223141237261375,0.75,0.7791807850201925
8,0.8563634946404589,0.6741811495749697,0.5176586831844113,0.82186558059423,0.7,0.7221527179082234
9,0.8489381517217733,0.6641885283896225,0.5260042875358883,0.811907923065882,0.75,0.7033795197804769
10,0.8650640751824431,0.7074243121996594,0.5678038102356869,0.8243505095449979,0.75,0.644776173432668
