,count,mean,std,min,25%,50%,75%,max
gender,486114.0,0.45291022270496223,0.4977781258717903,0.0,0.0,0.0,1.0,1.0
admission_age,486114.0,63.659027099609375,16.62984275817871,0.0,53.0,66.0,76.0,90.0
hours_since_icu_intime,486114.0,12.238968636986385,15.929843688984368,0.0,6.0,11.0,16.0,817.0
icustay_seq,486114.0,1.197284998992006,0.5665513788844875,1.0,1.0,1.0,1.0,18.0
hospstay_seq,486114.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
spo2,486114.0,96.7739486694336,3.055199384689331,50.0,95.25,97.25,99.0,100.0
sbp,486114.0,119.7758560180664,12.928001403808594,40.0,117.125,119.16666412353516,122.41666412353516,300.0
dbp,486114.0,58.35668182373047,7.689077377319336,20.0,56.625,57.866668701171875,58.900001525878906,198.8333282470703
pulse_pressure,486114.0,60.854042053222656,11.94276237487793,0.0,58.0,61.224998474121094,63.08333206176758,206.0
heart_rate,486114.0,84.95361328125,18.171106338500977,21.91666603088379,71.75,83.33333587646484,96.41666412353516,233.0
resp_rate,486114.0,19.438241958618164,5.717657089233398,2.0,15.75,18.58333396911621,22.16666603088379,79.83333587646484
temperature,486114.0,37.145259857177734,0.4653181731700897,30.0,37.04999923706055,37.16666793823242,37.24529266357422,41.69166564941406
mbp,486114.0,78.4924545288086,10.14905071258545,20.0,76.0,77.63636016845703,79.0,249.9166717529297
wbc,486114.0,12.022126394220287,8.780689976257946,0.0,7.76,10.6,14.46,755.8
platelet,486114.0,202.79257128986205,95.68603194593322,2.0,141.0,190.0,248.0,1659.0
hematocrit,486114.0,32.61880874633789,5.988945007324219,8.800000190734863,28.100000381469727,32.599998474121094,36.64706039428711,66.0999984741211
hemoglobin,486114.0,10.764398574829102,2.045644998550415,2.299999952316284,9.199999809265137,10.699999809265137,12.100000381469727,23.600000381469727
mch,486114.0,29.68889808654785,2.5613749027252197,15.399999618530273,28.200000762939453,29.900001525878906,31.299999237060547,47.0
mchc,486114.0,32.94612503051758,1.4308500289916992,24.600000381469727,32.0,33.015384674072266,34.0,41.099998474121094
mcv,486114.0,90.09646606445312,6.538981914520264,55.0,86.0,90.0,94.0,138.89999389648438
rbc,486114.0,3.635585308074951,0.6949005722999573,0.75,3.130000114440918,3.630000114440918,4.099999904632568,8.760000228881836
rdw,486114.0,15.228386551302778,2.3903166460331766,0.0,13.6,14.6,16.2,47.3
glucose,486114.0,140.16618324096817,60.56353823681755,5.0,103.0,126.0,158.0,1964.0
creatinine,486114.0,1.466499670859099,1.6045527529442607,0.1,0.72,0.98,1.49,38.99
