,count,mean,std,min,25%,50%,75%,max
gender,1176722.0,0.5467485098434465,0.49780999128681797,0.0,0.0,1.0,1.0,1.0
admission_age,1176722.0,64.54053497314453,17.167631149291992,18.0,54.290000915527344,66.31999969482422,77.44000244140625,100.81999969482422
hours_since_icu_intime,1176722.0,15.115188130671475,19.47034112213788,-17.85611111111111,7.3,13.062222222222223,18.67798611111111,491.17055555555555
icustay_seq,1176722.0,1.1200580935854008,0.39673873137039545,1.0,1.0,1.0,1.0,6.0
hospstay_seq,1176722.0,1.440316404384383,1.35304296395746,1.0,1.0,1.0,1.0,29.0
spo2,1176722.0,96.80448913574219,2.89211106300354,2.0,95.0,97.0,99.0,100.0
sbp,1176722.0,120.65863037109375,21.906396865844727,10.0,105.0,119.0,134.0,326.0
dbp,1176722.0,64.92842102050781,15.558533668518066,5.0,54.0,63.0,74.0,290.0
pulse_pressure,1176722.0,55.73041534423828,19.287750244140625,-75.0,42.0,54.0,67.0,211.0
heart_rate,1176722.0,83.55538940429688,18.145124435424805,2.0,70.0,82.0,95.0,280.0
resp_rate,1176722.0,18.91019630432129,5.279514312744141,1.0,15.0,18.0,22.0,69.0
temperature,1176722.0,36.84380340576172,0.5461278557777405,22.0,36.57538604736328,36.83000183105469,37.0880012512207,41.20000076293945
mbp,1176722.0,80.08966827392578,15.844278335571289,1.0,69.0,79.0,89.0,299.0
wbc,1176722.0,11.421772956848145,8.332782745361328,0.10000000149011612,7.5,10.199999809265137,13.600000381469727,572.5
platelet,1176722.0,220.6088409423828,107.67741394042969,5.0,154.0,203.0,265.0,2360.0
hematocrit,1176722.0,32.64970397949219,6.1535491943359375,4.300000190734863,28.100000381469727,32.5,37.0,67.69999694824219
hemoglobin,1176722.0,10.771089553833008,2.1359598636627197,1.2999999523162842,9.199999809265137,10.699999809265137,12.300000190734863,20.700000762939453
mch,1176722.0,29.850065231323242,2.5676591396331787,15.800000190734863,28.600000381469727,30.100000381469727,31.399999618530273,58.29999923706055
mchc,1176722.0,32.96348571777344,1.637128472328186,24.5,31.899999618530273,33.0,34.0,70.4000015258789
mcv,1176722.0,90.61505126953125,6.745008945465088,53.0,87.0,91.0,95.0,133.0
rbc,1176722.0,3.624208688735962,0.7273666858673096,0.44999998807907104,3.0899999141693115,3.609999895095825,4.119999885559082,7.150000095367432
rdw,1176722.0,14.923174858093262,2.291189670562744,10.699999809265137,13.300000190734863,14.399999618530273,15.899999618530273,36.0
glucose,1176722.0,136.5085906982422,57.74259567260742,7.0,103.0,123.0,153.0,2440.0
creatinine,1176722.0,1.250429630279541,1.4024879932403564,0.10000000149011612,0.699999988079071,0.8999999761581421,1.2000000476837158,36.900001525878906
