fold,auc,auprc,mcc,acc,thr,time_min
1,0.8290394337041002,0.6008444248111423,0.5430380791201075,0.7980123047799338,0.95,4.031063508987427
2,0.8235138101295761,0.5736850922765725,0.5081709656200328,0.8254870628725954,0.95,5.006532768408458
3,0.7654107978910457,0.5111415782124776,0.3749343977822229,0.8011351301057594,0.75,4.053624327977499
4,0.8065066175124167,0.5682181983866824,0.4833153041789831,0.8196751399467743,0.9,4.050646074612936
5,0.8521311123923585,0.6552062042311626,0.5651988051091992,0.8214414848740509,0.95,4.050855112075806
6,0.7996869037800177,0.5903030893768351,0.4773277446246789,0.818922305764411,0.95,4.052814237276713
7,0.8219533463700225,0.6324315432929004,0.5233221465567697,0.7952586877391656,0.95,4.053461996714274
8,0.8187154184941823,0.5722716293968277,0.47551224521567736,0.7923436730674545,0.95,4.034430221716563
9,0.791858346833539,0.5347707530016305,0.44911851359356164,0.8026048661648499,0.95,4.040804187456767
10,0.7978507025215659,0.57498888451596,0.4587361796476573,0.7937356997093562,0.75,4.059347832202912
