fold,auc,auprc,mcc,acc,thr,time_min
1,0.8637444191455984,0.6024853741357451,0.5086243587716461,0.8225310164793268,0.7,0.6932111501693725
2,0.8660041484083167,0.5972952121749231,0.5294336576460075,0.8106806132426686,0.75,0.14320069948832195
3,0.8407785189916511,0.560824775457307,0.4704598455994861,0.8118826980524432,0.7,0.4258494337399801
4,0.8586233940940942,0.5702879359895385,0.49992780307591217,0.8212645327974738,0.75,0.31443767150243124
5,0.8590565346121091,0.6098229687337096,0.5291372829897033,0.8183848858906272,0.75,0.327328093846639
6,0.8679654411580205,0.612179341102035,0.5326834732742854,0.8210312903688819,0.65,0.5319405357042949
7,0.8608196927223413,0.6228178077481932,0.5100167687957456,0.8195062437203962,0.75,0.6306304732958475
8,0.8537627766889424,0.5894169545781272,0.4949164157209304,0.8181606143246735,0.7,0.36821951071421305
9,0.837835706916674,0.5485180028736723,0.4777516868084111,0.8039597387684799,0.75,0.38296284278233844
10,0.8520228765072773,0.5662152824207114,0.5071418901391755,0.8146799196210708,0.75,0.41146910190582275
