fold,auc,auprc,mcc,acc,thr,time_min
1,0.8550398080216337,0.7030513324418897,0.5435988466187057,0.8466319608771099,0.95,14.55162574450175
2,0.8434950145956636,0.7003686974327322,0.581496791293484,0.8443549874008973,0.9,11.228728540738423
3,0.7755031462672275,0.5817297181970235,0.43342612725283164,0.7902490463046242,0.9,10.969758097330729
4,0.8380891543772652,0.6700221414182033,0.5460876379564955,0.8229788015050014,0.9,10.940636440118153
5,0.8652336107003606,0.7444952640231639,0.604133112790852,0.8287031457153188,0.95,11.308482201894124
6,0.8298070165455023,0.6942251065763898,0.5867540735332148,0.8289160401002507,0.95,11.52135423819224
7,0.8000957084897111,0.679469829969422,0.5612537630588698,0.8432006968857916,0.85,11.379525176684062
8,0.8469305185145024,0.673465916403399,0.5140798586570619,0.8354874446085672,0.9,11.178478181362152
9,0.7906522285444094,0.5970963113647378,0.43746826830024244,0.8025423993503451,0.95,10.972280299663543
10,0.838344503701169,0.7279408492814244,0.5954948857376889,0.8399604229794075,0.85,11.341385726133982
