fold,auc,auprc,mcc,acc,thr,time_min
1,0.8720941875807673,0.691894204078771,0.5407184514111577,0.8861607743579163,0.49999999999999994,0.1083888332049052
2,0.8813934623744994,0.7191198435997525,0.5872089570538259,0.8991145838005615,0.49999999999999994,0.10962368249893188
3,0.8446391521127388,0.6504710263699247,0.5011214732015002,0.8740143353098957,0.49999999999999994,0.11042542060216268
4,0.861533074403136,0.6813793107640316,0.5404016514188344,0.8892188172814698,0.49999999999999994,0.1075664758682251
5,0.8678066798053709,0.7153724818586036,0.5704068531501453,0.8809028276159035,0.5499999999999999,0.11386013825734456
6,0.8743374950600966,0.7140596981875149,0.572176189400724,0.8812168078082389,0.5499999999999999,0.11362024545669555
7,0.8554675568750684,0.679722753281933,0.5338326944049563,0.8816653509401464,0.49999999999999994,0.10859351555506389
8,0.8482200509584684,0.6572046751666635,0.5054868452840818,0.8799608870388976,0.49999999999999994,0.10807482401529948
9,0.8419639251241793,0.6436812542146408,0.5152376471812787,0.8835761446820726,0.44999999999999996,0.10340283314387004
10,0.8583754864521389,0.6880387013538205,0.5613987643781733,0.889586622649634,0.49999999999999994,0.10807299613952637
