fold,auc,auprc,mcc,acc,thr,time_min
1,0.8471840289617132,0.6971461327312864,0.5496871389537047,0.8364726297523268,0.95,4.120609843730927
2,0.837865936981899,0.6827202021590316,0.5528299413144406,0.8256714399852498,0.95,4.0827178120613095
3,0.7936705449338861,0.6137938182099533,0.4617158611899465,0.810346431783643,0.75,4.1140561183293665
4,0.8035843577708219,0.6283513215132691,0.4919026077588358,0.8231011593404912,0.95,4.093743888537089
5,0.8511759986248433,0.737951106451672,0.6388417540270623,0.8091780161504158,0.95,4.098437122503916
6,0.7916325451848271,0.6741658961543758,0.597376859366558,0.818984962406015,0.95,4.156785889466604
7,0.8059110845282402,0.6422647644580796,0.4821991127977299,0.8009208847960676,0.9,4.082816819349925
8,0.8233332252455612,0.6417977449385157,0.4823026608430747,0.8379800590841949,0.95,4.962559556961059
9,0.779292697182592,0.603276083823614,0.4774515169963035,0.8182215697910485,0.95,5.057587786515554
10,0.8325110112570822,0.7176113751947888,0.5714767316178149,0.7940139756353967,0.9,4.1110522747039795
