fold,auc,auprc,mcc,acc,thr,time_min
1,0.8151183929835328,0.39223449096795765,0.4064572738184476,0.7804701056949046,0.7999999999999999,11.437567989031473
2,0.837451906120359,0.4185833605013206,0.42153456536975853,0.7990596767254625,0.9,12.1662628531456
3,0.8128539518503136,0.4478968026723186,0.42013073743724794,0.810315417299879,0.65,12.143250596523284
4,0.8167301578245606,0.38521100031581107,0.3971118291511458,0.7845584411611759,0.7999999999999999,11.724948020776113
5,0.7997355781274753,0.40195988682389244,0.41099590443778344,0.8122815475473063,0.7999999999999999,12.420783972740173
6,0.7951150233832518,0.4544915606815161,0.46724206126236073,0.825093984962406,0.85,11.048940734068553
7,0.823603224856171,0.45987301322914886,0.4757361071255216,0.7724854556201972,0.7999999999999999,10.818932116031647
8,0.8063826805867222,0.36265855385176465,0.3616356573663158,0.7895125553914328,0.49999999999999994,10.774580438931784
9,0.7848388576698829,0.3930170768089542,0.4165493295314223,0.8149732954367992,0.85,10.735073912143708
10,0.8097130858291565,0.38754255176635855,0.37991866733912316,0.788788572135304,0.75,10.730343294143676
