fold,auc,auprc,mcc,acc,thr,time_min
1,0.8588508688672374,0.48667369607680966,0.45426991778644815,0.8178482681905035,0.7,0.33895057439804077
2,0.8682445749502267,0.5117516843660018,0.48342004782054093,0.8179738591407785,0.7,0.33496750990549723
3,0.8393303920671693,0.47382858503785646,0.43882978394357447,0.8145918742655172,0.7,0.4084184567133586
4,0.8633165243101412,0.5047322446330873,0.470115231582236,0.825427013061576,0.7,0.5255011121431986
5,0.8541202485611614,0.49043886519834107,0.4585441595901362,0.8179722262092722,0.75,0.4802506963411967
6,0.8630070268301053,0.512892184862118,0.47223176319445476,0.8220270561217167,0.65,0.7328021844228109
7,0.8600639820550999,0.5052928256842046,0.46313040011166173,0.8210492320941581,0.7,0.39733389218648274
8,0.8491206238099127,0.47145243780378987,0.4356444132671565,0.8216233673029999,0.65,0.49171761274337766
9,0.8331269881312828,0.45091071171371944,0.42523131803552394,0.8089026840821013,0.7,0.32271749575932823
10,0.8478144191009301,0.45471426632910633,0.4598754592378636,0.815998636428879,0.75,0.19623387654622396
