fold,auc,auprc,mcc,acc,thr,time_min
1,0.8467880708375912,0.439665854239131,0.36829070355640975,0.890978084379177,0.15,0.08956438302993774
2,0.855110068398814,0.4595205738841419,0.3657836331087256,0.8966565894880375,0.15,0.08463352123896281
3,0.8344910273317765,0.4545345132920291,0.4106599682087447,0.8850663389340917,0.3,0.09348403215408325
4,0.8430539844889435,0.4327862526300577,0.3617744256122694,0.8966556624084973,0.15,0.08568582137425741
5,0.8416747029288423,0.44309353112055727,0.3756545004759731,0.8899364862925219,0.15,0.08566676775614421
6,0.8548697842195376,0.46802161276067794,0.4610314899438783,0.8850473661547295,0.3,0.09361310402552286
7,0.8566316238174511,0.46952934521373735,0.43733036744523585,0.887155518874695,0.25,0.0936922828356425
8,0.8279529023715785,0.4138955271321638,0.35575738557371944,0.8932108511554471,0.15,0.08499581813812256
9,0.8234466563696904,0.38319541688100406,0.33126479929034675,0.8980820295679632,0.15,0.08622788985570272
10,0.8421392759911941,0.417521961091858,0.36430788879383064,0.8935786565236113,0.15,0.08749772310256958
