fold,auc,auprc,mcc,acc,thr,time_min
1,0.8291674748091517,0.4686616880484251,0.45250083655035556,0.817952358416154,0.75,11.266076310475666
2,0.8165297008117913,0.47388209214008115,0.49281782376238764,0.8007805297769037,0.9,10.954111015796661
3,0.8002823649359606,0.5149611247061705,0.4191899512012671,0.8030270136153583,0.7,11.276038706302643
4,0.7795190148101626,0.49879322753625444,0.4524405835079475,0.828974335444006,0.9,14.629195316632588
5,0.8352908136839932,0.5363579132998727,0.48940036107409496,0.7851633120404966,0.9,10.954188636938731
6,0.790913224098806,0.47616853414924304,0.4567055266853658,0.819423558897243,0.85,11.198951029777527
7,0.8344159335920619,0.5762559594394602,0.5045603970991485,0.8007342189590269,0.9,11.160470775763194
8,0.8169687070885359,0.46598904405068464,0.4197599431049169,0.8161004431314623,0.9,11.263795038064321
9,0.7973660809132852,0.43965230038598896,0.4137177263065163,0.8039791360839554,0.85,10.955672001838684
10,0.7733060966076503,0.44853105916231917,0.37874153196747795,0.7866860429163317,0.65,11.292610335350037
